Location,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps
Sakhir,4,3,5,4,3,4,3,3,21.0,18.5,C1,C2,C3,5.412,57
Jeddah,2,3,2,4,3,2,3,2,22.5,21.0,C2,C3,C4,6.174,50
Melbourne,2,3,2,4,3,2,3,3,23.0,21.0,C2,C3,C4,5.278,58
Baku,5,1,1,5,3,4,1,1,25.0,23.0,C3,C4,C5,6.003,51
Miami,3,3,2,5,3,3,3,2,24.0,20.5,C2,C3,C4,5.412,57
Monaco,5,1,1,5,1,2,1,5,21.0,19.5,C3,C4,C5,3.337,78
Barcelona,3,3,4,3,5,3,5,4,23.0,20.0,C1,C2,C3,4.657,66
Montréal,5,1,2,5,3,5,1,1,22.0,20.5,C3,C4,C5,4.361,70
Spielberg,2,3,4,3,3,3,3,3,23.0,20.0,C3,C4,C5,4.318,71
Silverstone,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52
Budapest,4,3,2,4,3,3,3,5,22.0,19.0,C3,C4,C5,4.381,70
Spa-Francorchamps,4,3,4,3,5,4,5,2,25.0,23.0,C2,C3,C4,7.004,44
Zandvoort,4,2,3,4,5,3,4,4,24.0,21.0,C1,C2,C3,4.259,72
Monza,2,2,3,3,3,3,3,3,24.5,21.5,C3,C4,C5,4.909,63
Marina Bay,4,3,3,4,2,5,2,5,22.0,19.0,C3,C4,C5,4.94,62
Suzuka,3,3,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53
Lusail,3,3,3,4,5,3,5,4,25.0,21.5,C1,C2,C3,5.419,57
Austin,4,3,4,4,4,3,4,4,23.0,20.0,C2,C3,C4,5.513,56
Mexico City,3,1,2,3,2,3,2,5,23.5,20.5,C3,C4,C5,4.304,71
São Paulo,3,3,4,4,3,3,3,4,23.0,21.0,C2,C3,C4,4.309,71
Las Vegas,2,3,3,5,3,3,2,1,27.0,24.5,C3,C4,C5,6.201,50
Yas Island,4,4,3,4,3,4,3,3,22.0,20.0,C3,C4,C5,5.281,58
