Location,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps
Sakhir,Bahrain Grand Prix,https://press.pirelli.com/2022-bahrain-grand-prix---preview/,4,3,5,4,3,4,3,3,22.5,20.5,C1,C2,C3,5.412,57
Jeddah,Saudi Arabian Grand Prix,https://press.pirelli.com/2022-saudi-arabia-grand-prix---preview/,2,3,2,4,3,2,3,2,23.5,21.0,C2,C3,C4,6.174,50
Melbourne,Australian Grand Prix,https://press.pirelli.com/2022-australian-grand-prix---preview/,3,2,2,4,3,3,3,3,24.5,21.5,C2,C3,C5,5.303,58
Imola,Emilia Romagna Grand Prix,https://press.pirelli.com/2022-italian-grand-prix---preview/,2,2,3,3,3,3,3,3,24.5,21.5,C2,C3,C4,4.909,63
Miami,Miami Grand Prix,https://press.pirelli.com/2022-miami-grand-prix---preview/,3,3,2,5,3,3,3,2,24.5,20.5,C2,C3,C4,5.412,57
Barcelona,Spanish Grand Prix,https://press.pirelli.com/2022-spanish-grand-prix---preview/,3,3,4,3,4,3,4,4,22.5,19.0,C1,C2,C3,4.675,66
Monaco,Monaco Grand Prix,https://press.pirelli.com/2022-monaco-grand-prix--preview/,5,1,1,5,1,2,1,5,21.0,17.0,C3,C4,C5,3.337,78
Baku,Azerbaijan Grand Prix,https://press.pirelli.com/2022-azerbaijan-grand-prix--preview/,5,1,1,5,3,4,1,1,24.5,21.5,C3,C4,C5,6.003,51
Montréal,Canadian Grand Prix,https://press.pirelli.com/2022-canada-grand-prix---preview/,5,1,2,5,3,5,1,1,23.0,20.5,C3,C4,C5,4.361,70
Silverstone,British Grand Prix,https://press.pirelli.com/2022-british-grand-prix--preview/,3,4,3,3,5,2,5,4,26.0,23.0,C1,C2,C3,5.891,52
Spielberg,Austrian Grand Prix,https://press.pirelli.com/2022-austrian-grand-prix---preview/,3,3,4,3,3,3,3,3,24.0,20.0,C3,C4,C5,4.318,71
Le Castellet,French Grand Prix,https://press.pirelli.com/2022-french-grand-prix--preview/,4,3,3,3,4,2,4,3,24.0,21.5,C2,C3,C4,5.842,53
Budapest,Hungarian Grand Prix,https://press.pirelli.com/2022-hungarian-grand-prix---preview/,4,3,2,4,3,3,3,5,22.0,18.0,C2,C3,C4,4.381,70
Spa-Francorchamps,Belgian Grand Prix,https://press.pirelli.com/2022-belgian-grand-prix---preview/,3,3,4,3,5,4,5,2,25.0,22.5,C2,C3,C4,7.004,44
Zandvoort,Dutch Grand Prix,https://press.pirelli.com/2022-dutch-grand-prix--preview/,4,4,3,3,5,3,4,4,23.5,21.5,C1,C2,C3,4.259,72
Monza,Italian Grand Prix,https://press.pirelli.com/2022-italian-grand-prix---preview-2/,3,2,3,3,5,4,2,1,25.5,22.5,C2,C3,C4,5.793,53
Marina Bay,Singapore Grand Prix,https://press.pirelli.com/2022-singapore-grand-prix---preview/,5,2,3,4,2,5,2,5,22.0,18.0,C3,C4,C5,5.063,61
Suzuka,Japanese Grand Prix,https://press.pirelli.com/2022-japanese-grand-prix---preview/,3,4,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53
Austin,United States Grand Prix,https://press.pirelli.com/2022-united-states-grand-prix---preview-0/,3,4,4,3,5,2,5,4,23.0,20.0,C2,C3,C4,5.513,56
Mexico City,Mexico City Grand Prix,https://press.pirelli.com/2022-mexican-grand-prix--preview/,3,2,2,4,2,3,2,5,23.5,20.5,C2,C3,C4,4.304,71
São Paulo,São Paulo Grand Prix,https://press.pirelli.com/2022-brazilian-grand-prix---preview/,3,3,4,4,3,3,3,4,24.0,22.0,C2,C3,C4,4.309,71
Yas Island,Abu Dhabi Grand Prix,https://press.pirelli.com/2022-abu-dhabi-grand-prix--preview/,4,2,3,4,3,4,3,3,23.0,20.5,C3,C4,C5,5.281,58
